Timestamp,Latitude,Longitude,Location,Ignition Status,Speed (km/h),Total Odometer (km),Vehicle Name
2026-08-28 06:40:00,28.60206,77.30421,"Okhla Industrial Area Phase 2, New Delhi",ON,0,45230.5,DL 01 AB 1234
2026-08-28 06:46:45,28.57738,77.38877,"En route via NH-48",ON,38,45234.8,DL 01 AB 1234
2026-08-28 06:53:30,28.68605,77.26443,"En route via NH-48",ON,58,45239.1,DL 01 AB 1234
2026-08-28 07:00:15,28.55498,77.37081,"En route via NH-48",ON,50,45243.3,DL 01 AB 1234
2026-08-28 07:07:00,28.70001,77.32950,"En route via NH-48",ON,34,45247.6,DL 01 AB 1234
2026-08-28 07:13:45,28.55359,77.41422,"En route via NH-48",ON,54,45251.9,DL 01 AB 1234
2026-08-28 07:20:30,28.68403,77.30931,"En route via NH-48",ON,50,45256.2,DL 01 AB 1234
2026-08-28 07:27:15,28.61588,77.42523,"En route via NH-48",ON,29,45260.4,DL 01 AB 1234
2026-08-28 07:34:00,28.65473,77.37014,"IGI Airport Cargo Terminal, New Delhi",OFF,0,45264.7,DL 01 AB 1234
2026-08-28 10:15:00,28.65302,77.35768,"IGI Airport Cargo Terminal, New Delhi",ON,0,45264.7,DL 01 AB 1234
2026-08-28 10:21:48,28.63001,77.30005,"En route via NH-48",ON,48,45269.1,DL 01 AB 1234
2026-08-28 10:28:36,28.54901,77.27087,"En route via NH-48",ON,28,45273.4,DL 01 AB 1234
2026-08-28 10:35:24,28.72063,77.44974,"En route via NH-48",ON,58,45277.8,DL 01 AB 1234
2026-08-28 10:42:12,28.76274,77.30579,"En route via NH-48",ON,52,45282.1,DL 01 AB 1234
2026-08-28 10:49:00,28.73723,77.23444,"Connaught Place, New Delhi",OFF,0,45286.5,DL 01 AB 1234
2026-08-28 16:05:00,28.55808,77.26391,"Connaught Place, New Delhi",ON,0,45286.5,DL 01 AB 1234
2026-08-28 16:10:45,28.62642,77.20309,"En route via NH-48",ON,55,45290.2,DL 01 AB 1234
2026-08-28 16:16:30,28.68058,77.30818,"En route via NH-48",ON,29,45293.8,DL 01 AB 1234
2026-08-28 16:22:15,28.64673,77.29713,"En route via NH-48",ON,35,45297.5,DL 01 AB 1234
2026-08-28 16:28:00,28.64749,77.23553,"Azadpur Mandi, New Delhi",OFF,0,45301.1,DL 01 AB 1234
2026-08-29 07:25:00,28.66892,77.31092,"Gurugram Sector 32, Haryana",ON,0,45304.8,HR 26 DK 8890
2026-08-29 07:31:55,28.67041,77.29701,"En route via NH-48",ON,31,45309.2,HR 26 DK 8890
2026-08-29 07:38:50,28.76787,77.31077,"En route via NH-48",ON,50,45313.5,HR 26 DK 8890
2026-08-29 07:45:45,28.56621,77.29269,"En route via NH-48",ON,39,45317.9,HR 26 DK 8890
2026-08-29 07:52:40,28.66046,77.35671,"En route via NH-48",ON,30,45322.3,HR 26 DK 8890
2026-08-29 07:59:35,28.78037,77.22505,"En route via NH-48",ON,46,45326.6,HR 26 DK 8890
2026-08-29 08:06:30,28.57789,77.41909,"En route via NH-48",ON,56,45331.0,HR 26 DK 8890
2026-08-29 08:13:25,28.58928,77.43407,"En route via NH-48",ON,35,45335.4,HR 26 DK 8890
2026-08-29 08:20:20,28.67934,77.29929,"En route via NH-48",ON,29,45339.7,HR 26 DK 8890
2026-08-29 08:27:15,28.67282,77.35689,"En route via NH-48",ON,42,45344.1,HR 26 DK 8890
2026-08-29 08:34:10,28.68917,77.41197,"En route via NH-48",ON,46,45348.5,HR 26 DK 8890
2026-08-29 08:41:05,28.65354,77.31590,"En route via NH-48",ON,39,45352.8,HR 26 DK 8890
2026-08-29 08:48:00,28.66185,77.34591,"Noida Sector 62, UP",OFF,0,45357.2,HR 26 DK 8890
2026-08-29 15:50:00,28.66837,77.22495,"Noida Sector 62, UP",ON,0,45357.2,HR 26 DK 8890
2026-08-29 15:56:35,28.55164,77.44909,"En route via NH-48",ON,26,45361.4,HR 26 DK 8890
2026-08-29 16:03:10,28.63635,77.22024,"En route via NH-48",ON,49,45365.5,HR 26 DK 8890
2026-08-29 16:09:45,28.75887,77.30692,"En route via NH-48",ON,29,45369.7,HR 26 DK 8890
2026-08-29 16:16:20,28.66693,77.25327,"En route via NH-48",ON,52,45373.8,HR 26 DK 8890
2026-08-29 16:22:55,28.68622,77.37013,"En route via NH-48",ON,59,45378.0,HR 26 DK 8890
2026-08-29 16:29:30,28.68286,77.41005,"En route via NH-48",ON,47,45382.2,HR 26 DK 8890
2026-08-29 16:36:05,28.62130,77.34639,"En route via NH-48",ON,50,45386.3,HR 26 DK 8890
2026-08-29 16:42:40,28.61906,77.33296,"En route via NH-48",ON,26,45390.5,HR 26 DK 8890
2026-08-29 16:49:15,28.75431,77.40702,"En route via NH-48",ON,36,45394.6,HR 26 DK 8890
2026-08-29 16:55:50,28.73507,77.35937,"En route via NH-48",ON,47,45398.8,HR 26 DK 8890
2026-08-29 17:02:25,28.58988,77.44185,"En route via NH-48",ON,46,45402.9,HR 26 DK 8890
2026-08-29 17:09:00,28.54108,77.23234,"Gurugram Sector 32, Haryana",OFF,0,45407.1,HR 26 DK 8890
